,X1,X2,X3,X4,X5,X6,X7,X8,Actual Heating Load,Actual Cooling Load,Predicted Heating Load,Predicted Cooling Load
0,0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,21.33,22.964656455973,25.893536918606856
1,0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,21.33,22.93447398270245,26.01989789425213
2,0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,21.33,22.9042915094319,26.146258869897398
3,0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33,22.874109036161354,26.272619845542668
4,0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,28.28,25.162071362264335,28.12033289605222
5,0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,25.38,25.13188888899379,28.246693871697488
6,0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,25.16,25.10170641572324,28.37305484734276
7,0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,29.6,25.07152394245269,28.49941582298803
8,0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,27.3,23.925962152435524,27.310910969164237
9,0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,21.97,23.895779679164978,27.43727194480951
10,0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,23.49,23.865597205894428,27.56363292045478
11,0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,27.87,23.835414732623878,27.68999389610005
12,0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,23.77,25.80294182657269,29.065248929757143
13,0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,21.46,25.772759353302142,29.191609905402416
14,0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,21.16,25.742576880031592,29.317970881047685
15,0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,24.93,25.712394406761046,29.444331856692955
16,0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,37.73,27.071415049083924,30.101137855799692
17,0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,31.27,27.04123257581338,30.22749883144496
18,0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93,27.01105010254283,30.35385980709023
19,0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,39.44,26.980867629272282,30.480220782735504
20,0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,29.79,31.452977155561143,33.700786669323136
21,0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,29.68,31.422794682290597,33.827147644968406
22,0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,29.79,31.392612209020047,33.953508620613675
23,0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,29.4,31.3624297357495,34.079869596258945
24,0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,10.9,5.592800008406545,10.387777553311594
25,0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,11.19,5.562617535135999,10.514138528956865
26,0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01,10.94,5.532435061865449,10.640499504602136
27,0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04,11.17,5.502252588594903,10.766860480247407
28,0.71,710.5,269.5,220.5,3.5,2,0.0,0,6.37,11.27,6.861273230917789,11.42366647935415
29,0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4,11.72,6.831090757647241,11.550027454999421
30,0.71,710.5,269.5,220.5,3.5,4,0.0,0,6.37,11.29,6.800908284376693,11.67638843064469
31,0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4,11.67,6.770725811106145,11.802749406289962
32,0.69,735.0,294.0,220.5,3.5,2,0.0,0,6.85,11.74,7.521240001803104,11.741106370846357
33,0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79,12.05,7.491057528532556,11.867467346491626
34,0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77,11.73,7.460875055262006,11.993828322136897
35,0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81,11.93,7.430692581991458,12.120189297782167
36,0.66,759.5,318.5,220.5,3.5,2,0.0,0,7.18,12.4,8.789713224314342,12.776995296888902
37,0.66,759.5,318.5,220.5,3.5,3,0.0,0,7.1,12.23,8.759530751043792,12.903356272534172
