,X1,X2,X3,X4,X5,X6,X7,X8,Actual Heating Load,Actual Cooling Load,Predicted Heating Load,Predicted Cooling Load
0,0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,21.33,15.740033333333326,22.235899999999997
1,0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,21.33,15.668433333333324,21.406799999999997
2,0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,21.33,15.712766666666658,21.430899999999998
3,0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33,15.700033333333327,21.653766666666662
4,0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,28.28,20.509,27.73163333333333
5,0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,25.38,20.373700000000007,25.632533333333335
6,0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,25.16,20.316666666666674,25.79553333333333
7,0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,29.6,19.85309999999999,27.82960000000001
8,0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,27.3,19.34316666666666,26.603666666666655
9,0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,21.97,19.181066666666663,24.234
10,0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,23.49,19.22616666666666,24.309533333333334
11,0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,27.87,19.224499999999995,26.48233333333333
12,0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,23.77,17.743733333333335,24.0549
13,0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,21.46,17.667133333333336,21.955066666666674
14,0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,21.16,17.54683333333334,21.880566666666677
15,0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,24.93,17.521633333333337,23.14293333333334
16,0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,37.73,29.45053333333332,34.610566666666635
17,0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,31.27,29.532833333333315,32.045866666666626
18,0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93,29.461333333333314,32.7397333333333
19,0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,39.44,28.970366666666663,36.66953333333329
20,0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,29.79,24.86719999999999,29.98756666666665
21,0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,29.68,24.61963333333332,29.971266666666644
22,0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,29.79,24.995899999999995,30.045566666666648
23,0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,29.4,25.000633333333326,31.541199999999964
24,0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,10.9,6.07899999999993,11.05873333333336
25,0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,11.19,6.0564,11.179499999999981
26,0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01,10.94,6.0356666666665895,11.033700000000046
27,0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04,11.17,6.0590333333332325,11.128500000000047
